,V1,V2
1,22,2702
2,29,1467
3,73,447
4,77,500
5,94,2825
6,95,2063
7,105,1804
8,111,2718
9,130,1696
10,144,1102
11,151,2805
12,159,2718
13,161,1237
14,165,2141
15,166,1160
16,180,2113
17,198,2988
18,206,855
19,223,2288
20,239,2063
21,270,1756
22,275,1671
23,282,2050
24,284,2085
25,296,1836
26,299,2346
27,304,3024
28,307,559
29,326,1855
30,334,2010
31,350,500
32,364,1108
33,369,1696
34,369,3061
35,378,2050
36,383,2853
37,383,2935
38,395,2289
39,408,452
40,418,3101
41,423,1889
42,433,3223
43,436,989
44,456,485
45,464,2660
46,498,1836
47,498,2351
48,501,452
49,501,559
50,536,1237
51,569,584
52,571,2095
53,572,2994
54,584,2085
55,625,1836
56,630,485
57,637,2994
58,645,500
59,658,2889
60,672,2050
61,676,838
62,681,2429
63,697,2113
64,701,1422
65,702,3244
66,705,1787
67,712,1787
68,734,500
69,743,1558
70,755,1787
71,759,2412
72,809,3024
73,820,447
74,828,1964
75,829,2918
76,831,1804
77,833,3070
78,849,2718
79,895,2446
80,907,1108
81,907,1526
82,912,453
83,913,855
84,914,2889
85,919,2818
86,930,1467
87,940,3024
88,956,1526
89,972,855
90,988,1696
91,995,2063
92,1033,2063
93,1037,2988
94,1088,2346
95,1102,2412
96,1106,855
97,1108,2351
98,1109,1558
99,1136,2988
100,1157,1102
101,1160,594
102,1168,2289
103,1170,1497
104,1180,639
105,1193,672
106,1198,453
107,1200,3061
108,1205,1558
109,1218,2141
110,1218,3101
111,1221,1558
112,1244,2050
113,1281,2095
114,1291,447
115,1295,1680
116,1297,494
117,1321,730
118,1329,1804
119,1340,2141
120,1359,1291
121,1359,2386
122,1378,559
123,1394,2446
124,1406,2718
125,1413,586
126,1419,474
127,1424,962
128,1425,962
129,1433,2346
130,1436,568
131,1450,1787
132,1458,1526
133,1472,447
134,1490,500
135,1493,559
136,1495,2418
137,1519,2064
138,1523,1467
139,1541,607
140,1545,1526
141,1559,1102
142,1560,2918
143,1565,2889
144,1582,1237
145,1593,2988
146,1619,1671
147,1631,2818
148,1632,1160
149,1634,594
150,1637,2918
151,1641,2322
152,1656,3101
153,1657,454
154,1659,3101
155,1674,2302
156,1681,1467
157,1682,672
158,1683,730
159,1712,2805
160,1733,2050
161,1734,1558
162,1739,2201
163,1754,2702
164,1773,2141
165,1776,1680
166,1789,3244
167,1803,2988
168,1805,2918
169,1806,568
170,1810,1671
171,1835,838
172,1844,2994
173,1848,1753
174,1851,1753
175,1853,1964
176,1902,3061
177,1921,1422
178,1921,474
179,1927,494
180,1932,827
181,1941,2201
182,1950,2201
183,1990,485
184,2008,2818
185,2014,1422
186,2015,2201
187,2027,2805
188,2031,3101
189,2044,3223
190,2044,3244
191,2063,1787
192,2078,594
193,2078,543
194,2081,2935
195,2101,3223
196,2102,2346
197,2113,778
198,2119,2289
199,2145,559
200,2160,2289
201,2163,2818
202,2177,1291
203,2177,2386
204,2179,1964
205,2180,2141
206,2181,1108
207,2189,568
208,2197,453
209,2203,2289
210,2207,1889
211,2209,1680
212,2214,1889
213,2233,2702
214,2245,1671
215,2256,1836
216,2260,568
217,2261,1836
218,2261,1237
219,2271,474
220,2276,3061
221,2296,1467
222,2298,2386
223,2313,2085
224,2324,1680
225,2330,586
226,2365,2994
227,2372,452
228,2380,2346
229,2380,453
230,2401,2064
231,2415,1671
232,2438,2386
233,2445,543
234,2449,1108
235,2452,2322
236,2456,586
237,2465,2113
238,2469,1517
239,2472,543
240,2473,1497
241,2480,778
242,2487,3061
243,2492,453
244,2493,2429
245,2504,2412
246,2509,2351
247,2517,607
248,2520,1964
249,2525,2825
250,2580,594
251,2582,2113
252,2584,751
253,2585,2386
254,2599,2718
255,2630,586
256,2668,2063
257,2669,543
258,2691,1855
259,2707,1160
260,2737,672
261,2748,1237
262,2752,2288
263,2755,1804
264,2763,109
265,2773,2918
266,2780,494
267,2795,672
268,2796,1108
269,2796,494
270,2823,1517
271,2828,2201
272,2833,2322
273,2835,1889
274,2853,452
275,2866,1680
276,2872,3223
277,2877,730
278,2881,2288
279,2881,2818
280,2907,1422
281,2920,1804
282,2933,485
283,2933,1753
284,2937,1160
285,2950,1102
286,2967,1196
287,3029,2322
288,3048,1753
289,3084,1102
290,3086,447
291,3098,594
292,3104,1291
293,3124,778
294,3128,543
295,3145,3070
296,3154,3024
297,3161,2288
298,3165,2446
299,3181,2702
300,3194,1753
301,3195,494
302,3195,855
303,3211,584
304,3215,2994
305,3224,2412
306,3228,474
307,3231,1696
308,3233,1422
309,3239,2805
310,3242,730
311,3244,586
312,3251,778
