,V1,V2
1,0,0
2,1,1
3,2,2
4,3,3
5,4,4
6,4,100
7,6,6
8,7,7
9,8,8
10,9,9
11,10,10
12,12,12
13,13,13
14,14,14
15,14,3192
16,14,643
17,14,91
18,15,15
19,16,16
20,17,17
21,17,71
22,17,1507
23,18,18
24,20,20
25,21,21
26,22,22
27,23,23
28,24,24
29,24,3211
30,24,1066
31,25,25
32,26,26
33,28,28
34,29,29
35,29,2093
36,29,2826
37,30,30
38,31,31
39,32,32
40,33,33
41,34,34
42,34,2254
43,34,2481
44,35,35
45,35,1567
46,35,996
47,35,631
48,35,2238
49,36,36
50,37,37
51,37,1976
52,39,39
53,40,40
54,40,1498
55,40,1293
56,42,42
57,43,43
58,44,44
59,45,45
60,45,269
61,46,46
62,48,48
63,49,49
64,50,50
65,50,1098
66,52,52
67,53,53
68,54,54
69,55,55
70,55,1929
71,56,56
72,57,57
73,58,58
74,59,59
75,60,60
76,61,61
77,62,62
78,63,63
79,63,1577
80,63,693
81,64,64
82,64,2553
83,65,65
84,66,66
85,67,67
86,69,69
87,71,71
88,71,1406
89,71,17
90,72,72
91,73,73
92,74,74
93,74,2254
94,74,2481
95,75,75
96,75,1129
97,75,1951
98,75,345
99,75,1780
100,76,76
101,77,77
102,79,79
103,80,80
104,80,1561
105,81,81
106,81,2624
107,81,2365
108,82,82
109,83,83
110,83,3242
111,84,84
112,86,86
113,87,87
114,89,89
115,90,90
116,91,91
117,91,643
118,91,14
119,92,92
120,93,93
121,94,94
122,95,95
123,95,1520
124,96,96
125,96,1804
126,97,97
127,99,99
128,100,100
129,100,1043
130,100,4
131,101,101
132,102,102
133,103,103
134,104,104
135,105,105
136,107,107
137,108,108
138,108,270
139,108,340
140,108,2238
141,109,109
142,110,110
143,110,1031
144,111,111
145,113,113
146,114,114
147,115,115
148,116,116
149,117,117
150,118,118
151,121,121
152,123,123
153,124,124
154,125,125
155,127,2816
156,128,128
157,129,129
158,130,130
159,131,131
160,135,135
161,135,2063
162,135,316
163,136,136
164,137,137
165,138,138
166,139,139
167,140,140
168,141,141
169,142,142
170,143,143
171,143,2038
172,143,952
173,143,1028
174,143,3026
175,145,145
176,146,146
177,147,147
178,149,149
179,150,150
180,150,439
181,151,151
182,152,152
183,154,154
184,155,155
185,156,156
186,158,158
187,159,159
188,160,160
189,160,1866
190,161,161
191,163,163
192,164,164
193,165,165
194,166,166
195,167,167
196,168,168
197,168,1969
198,172,172
199,173,173
200,174,174
201,175,175
202,175,944
203,176,176
204,176,2653
205,176,2120
206,176,3133
207,176,215
208,177,177
209,178,178
210,179,179
211,180,180
212,181,181
213,181,375
214,182,182
215,182,2398
216,182,3046
217,183,183
218,184,184
219,184,961
220,184,2134
221,185,185
222,187,187
223,188,188
224,188,896
225,188,1968
226,188,1736
227,190,190
228,191,191
229,191,1252
230,191,471
231,192,192
232,193,193
233,195,195
234,195,2840
235,196,196
236,196,909
237,197,197
238,198,198
239,199,199
240,200,200
241,201,201
242,204,204
243,205,205
244,206,206
245,207,207
246,208,208
247,209,209
248,209,501
249,210,210
250,211,211
251,213,213
252,214,214
253,215,215
254,215,176
255,217,217
256,218,2681
257,219,219
258,220,220
259,220,2317
260,220,3024
261,220,2363
262,221,221
263,222,222
264,223,255
265,223,223
266,223,1165
267,223,2450
268,223,1592
269,224,224
270,225,225
271,227,227
272,228,228
273,229,229
274,230,230
275,231,231
276,232,232
277,233,233
278,233,2501
279,234,234
280,236,236
281,237,237
282,238,238
283,239,239
284,240,240
285,242,242
286,243,243
287,244,244
288,244,1051
289,246,513
290,247,247
291,248,248
292,250,250
293,250,282
294,251,251
295,253,253
296,254,254
297,255,255
298,255,223
299,255,2450
300,255,1165
301,255,1592
302,256,256
303,257,257
304,258,258
305,259,259
306,260,260
307,261,261
308,262,262
309,263,263
310,264,264
311,265,265
312,266,266
313,267,267
314,269,269
315,269,45
316,270,270
317,270,108
318,270,340
319,270,2884
320,271,271
321,272,272
322,273,273
323,274,274
324,275,275
325,276,276
326,277,277
327,278,278
328,278,282
329,280,280
330,280,3061
331,281,281
332,282,282
333,282,278
334,282,250
335,282,1365
336,282,2668
337,283,283
338,284,284
339,284,3044
340,284,1878
341,286,286
342,287,287
343,287,1545
344,288,288
345,288,447
346,289,289
347,290,290
348,291,291
349,291,1192
350,292,292
351,292,2681
352,293,293
353,294,294
354,296,296
355,297,297
356,298,298
357,299,299
358,300,300
359,301,301
360,303,303
361,304,304
362,306,306
363,307,307
364,308,308
365,309,309
366,309,2289
367,310,310
368,311,311
369,312,312
370,315,315
371,316,316
372,316,135
373,316,2063
374,317,317
375,317,3095
376,318,318
377,320,320
378,322,322
379,323,323
380,323,1835
381,323,797
382,324,324
383,326,326
384,327,327
385,327,2600
386,328,328
387,329,329
388,330,330
389,331,331
390,332,332
391,332,2191
392,332,3196
393,332,2971
394,334,334
395,335,335
396,336,336
397,337,337
398,338,338
399,338,588
400,339,339
401,340,340
402,340,108
403,340,270
404,341,341
405,343,343
406,343,1397
407,344,344
408,344,828
409,345,345
410,345,75
411,348,348
412,349,349
413,349,822
414,351,351
415,352,352
416,353,353
417,353,2082
418,355,355
419,355,1971
420,356,356
421,357,357
422,359,359
423,360,360
424,361,361
425,362,362
426,363,363
427,365,365
428,366,366
429,366,1399
430,367,367
431,369,369
432,370,370
433,372,372
434,373,373
435,374,374
436,375,375
437,375,181
438,377,377
439,379,379
440,380,380
441,380,453
442,381,381
443,382,382
444,383,383
445,383,2805
446,384,384
447,385,385
448,386,386
449,387,387
450,387,863
451,388,388
452,389,389
453,390,390
454,392,392
455,393,393
456,394,394
457,395,395
458,397,397
459,398,398
460,399,399
461,400,400
462,400,1755
463,401,401
464,401,2682
465,402,402
466,403,403
467,404,404
468,404,2870
469,404,1183
470,406,406
471,407,407
472,408,408
473,409,409
474,409,1804
475,409,2918
476,410,410
477,411,411
478,412,412
479,413,413
480,414,414
481,415,415
482,416,416
483,416,961
484,417,417
485,418,418
486,419,419
487,419,608
488,420,420
489,421,421
490,422,422
491,423,423
492,424,424
493,425,425
494,426,426
495,427,427
496,429,429
497,429,1462
498,430,430
499,431,431
500,433,433
501,434,434
502,435,435
503,436,436
504,436,1124
505,437,437
506,438,438
507,438,1181
508,439,439
509,439,150
510,440,440
511,441,441
512,442,442
513,443,443
514,445,445
515,446,446
516,447,447
517,447,2530
518,448,448
519,449,449
520,450,450
521,451,451
522,452,452
523,452,2732
524,452,2499
525,453,453
526,453,1096
527,453,2572
528,453,380
529,454,454
530,455,455
531,455,2296
532,456,456
533,457,457
534,458,458
535,459,459
536,461,461
537,462,462
538,464,464
539,465,465
540,466,466
541,467,467
542,468,468
543,469,469
544,470,470
545,471,471
546,471,191
547,472,472
548,473,473
549,474,474
550,475,475
551,476,476
552,477,477
553,478,478
554,479,479
555,480,480
556,481,481
557,482,482
558,483,483
559,484,484
560,485,485
561,486,486
562,487,487
563,488,488
564,488,961
565,489,489
566,490,490
567,492,492
568,494,494
569,496,496
570,496,1574
571,496,1969
572,497,497
573,498,498
574,499,499
575,500,500
576,501,501
577,501,209
578,501,474
579,502,502
580,502,2174
581,502,2613
582,503,503
583,504,504
584,505,505
585,507,507
586,508,508
587,509,509
588,510,510
589,511,511
590,511,2230
591,514,514
592,515,515
593,515,2383
594,516,516
595,517,517
596,517,1596
597,518,518
598,519,519
599,520,520
600,520,1869
601,521,521
602,521,2596
603,521,1361
604,522,522
605,524,524
606,525,525
607,526,526
608,527,527
609,529,529
610,530,530
611,530,3061
612,532,532
613,533,533
614,534,534
615,536,536
616,536,1814
617,536,2384
618,536,1808
619,537,537
620,537,2175
621,537,615
622,537,1612
623,538,538
624,542,542
625,543,543
626,544,544
627,546,546
628,546,2585
629,547,547
630,547,2621
631,548,548
632,549,549
633,550,550
634,551,551
635,552,552
636,552,1357
637,553,553
638,554,554
639,556,556
640,557,557
641,558,558
642,558,797
643,558,2921
644,558,2953
645,558,2140
646,559,559
647,559,1701
648,559,2064
649,560,560
650,561,561
651,562,562
652,563,563
653,564,564
654,565,565
655,567,567
656,568,568
657,569,569
658,570,570
659,571,571
